timestamp,user_id,username,action,details
2025-01-11 09:30:08,1149093393,@fcknguglyboy,delete reported ad_message ,"Deleted message: '🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️

💫💫💫💫💫💫❤️
💫💫💫💫💫💫💫💫💫

🔡🔡🔡🔡🔡 ➖ 💚💚💚💲

🍀 🌵🌱🌱🌱🎄☘️ 

💫💫💫💫 💫 💫💫'"
2025-01-11 09:30:10,1149093393,@fcknguglyboy,ban reported user,Banned user: 6496652579
2025-01-11 10:16:14,1102139690,@davidyanMA,delete reported ad_message ,"Deleted message: '🔥🔥🔥🔥🔥🔥🔥🔥🔥  🔥🔥🔥🔥🔥🔥

💚💚💚💚💚💚💚💚💚
💚💚💚💚💚💚
💚💚💚💚💚💚💚💚💚💚

2️⃣5️⃣0️⃣🔥4️⃣3️⃣0️⃣ 🤑 💚 💚💚💚💚

💚💚💚💚💚 🔥 💚 💚💚'"
2025-01-11 10:16:15,1102139690,@davidyanMA,ban reported user,Banned user: 6537264803
2025-01-11 11:29:03,924683007,@belous_iv,delete reported ad_message ,"Deleted message: '🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️ 

🌱🐲🎍🐲🌱  🐲🌳 👍👍😍💰 🍀 🌱🌱🌵🦜

🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️🅰️
       
🧡🧡🧡🧡🧡  🧡🧡🧡🧡🧡🧡🧡🧡🧡🧡


🐉🌾🪴🌾 ➕ 🍀  🎄🌴'"
