user_id,count_deleted_bw,count_deleted_ad
6054910203,0,2
5643038164,0,1
6805454220,0,1
6139721951,0,1
6130218461,0,1
1834623505,0,2
6676549922,0,1
6221207702,0,7
5711472404,0,2
6281682474,0,1
6951908035,0,11
5902411814,0,2
6148321657,0,2
5325767423,0,1
6871995184,0,4
7557970915,0,1
7138867167,0,1
6521622433,0,4
6626520930,0,1
6997698971,0,12
7062222021,0,1
6565832575,0,2
5803432628,0,2
7400925858,0,1
7540355027,0,1
6498009220,0,2
1842078403,0,1
6240645118,0,1
7858770313,0,1
6739806511,0,1
5523655886,0,1
6232706027,0,1
5189941278,0,1
